날짜,기사제목,링크
2023-11-16,"토니모리, 3Q 영업익 24억원…자회사 실적개선 ‘톡톡’",https://finance.naver.com/item/news_read.naver?article_id=0002320838&office_id=123&code=214420&page=1&sm=
2023-09-19,"토니모리, ‘겟잇틴트 워터풀 버터’ 새 컬러 4종 출시",https://finance.naver.com/item/news_read.naver?article_id=0005316226&office_id=277&code=214420&page=1&sm=
2023-08-14,"토니모리, 2Q 영업익 26억원…2분기 연속 흑자",https://finance.naver.com/item/news_read.naver?article_id=0005300077&office_id=277&code=214420&page=1&sm=
2023-08-11,[주가동향] 中관광객 200만명 몰려오나... 토니모리·스킨앤스킨 등 ...,https://finance.naver.com/item/news_read.naver?article_id=0002312970&office_id=123&code=214420&page=1&sm=
2023-06-28,중소형 화장품株 화장발 잘 받네… 토니모리·코스맥스 신고가,https://finance.naver.com/item/news_read.naver?article_id=0005033971&office_id=014&code=214420&page=1&sm=
2023-06-28,대세는 중소형 화장품주… 토니모리·코스맥스 신고가 행진,https://finance.naver.com/item/news_read.naver?article_id=0005033879&office_id=014&code=214420&page=1&sm=
2023-06-23,"[특징주] 토니모리, 2분기 흑자 전환 전망에 52주 신고가(종합)",https://finance.naver.com/item/news_read.naver?article_id=0014022195&office_id=001&code=214420&page=1&sm=
2023-06-23,"“방한 외국인에 로드샵 밀고 수출이 끈다”…토니모리, 6%대 강세",https://finance.naver.com/item/news_read.naver?article_id=0005148375&office_id=009&code=214420&page=1&sm=
2023-06-23,"토니모리, 2분기 흑자 전환 전망에 52주 최고가 경신",https://finance.naver.com/item/news_read.naver?article_id=0004859651&office_id=015&code=214420&page=1&sm=
2023-06-23,"토니모리, 2분기 흑자 전망에 6%대 강세 [특징주]",https://finance.naver.com/item/news_read.naver?article_id=0006884130&office_id=421&code=214420&page=1&sm=
2023-06-23,"[특징주] 토니모리, 2분기 흑자전망에... 신고가 터치",https://finance.naver.com/item/news_read.naver?article_id=0005031459&office_id=014&code=214420&page=1&sm=
2023-06-23,"[특징주]토니모리, 2Q 흑자전환 전망에 9%대 강세",https://finance.naver.com/item/news_read.naver?article_id=0005276714&office_id=277&code=214420&page=1&sm=
2023-06-23,[특징주]토니모리 2Q 흑자전환 전망에 강세,https://finance.naver.com/item/news_read.naver?article_id=0005514845&office_id=018&code=214420&page=1&sm=
2023-06-23,"""토니모리, 흑자전환 기대""…장 초반 6%대 '강세'",https://finance.naver.com/item/news_read.naver?article_id=0004903084&office_id=008&code=214420&page=1&sm=
2023-06-23,"[특징주] 토니모리, 2분기 흑자 전환 전망에 상승",https://finance.naver.com/item/news_read.naver?article_id=0014021023&office_id=001&code=214420&page=1&sm=
2023-06-23,"하나증권 ""토니모리, 2분기 영업익 흑자 전환 예상""",https://finance.naver.com/item/news_read.naver?article_id=0014020956&office_id=001&code=214420&page=1&sm=
2023-06-14,"토니모리, ‘퍼펙트립스 쇼킹립’ 10호 번트로즈 출시",https://finance.naver.com/item/news_read.naver?article_id=0005272431&office_id=277&code=214420&page=1&sm=
2023-05-15,"토니모리, 1분기 영업익 5억원…13분기 만에 흑자전환",https://finance.naver.com/item/news_read.naver?article_id=0005259210&office_id=277&code=214420&page=1&sm=
2023-05-15,"토니모리, 13분기 만에 1분기 ‘흑자전환’ 성공",https://finance.naver.com/item/news_read.naver?article_id=0002305229&office_id=123&code=214420&page=1&sm=
2023-05-15,"토니모리, 13분기만에 ‘흑자전환’ 성공",https://finance.naver.com/item/news_read.naver?article_id=0005486098&office_id=018&code=214420&page=1&sm=
2023-04-06,미샤·토니모리 등 1세대 뷰티 로드숍 일제히 '실적 회복세',https://finance.naver.com/item/news_read.naver?article_id=0011786840&office_id=003&code=214420&page=1&sm=
2023-03-16,"토니모리, 오는 31일 주총 개최",https://finance.naver.com/item/news_read.naver?article_id=0005443697&office_id=018&code=214420&page=2&sm=
2023-03-15,"토니모리, 오늘부터 '비건 위크' 프로모션…세부퍼시픽 항공권 응모도",https://finance.naver.com/item/news_read.naver?article_id=0006685189&office_id=421&code=214420&page=2&sm=
2023-03-07,[fn마켓워치]토니모리 '천안 물류센터' 매각 돌입,https://finance.naver.com/item/news_read.naver?article_id=0004978125&office_id=014&code=214420&page=2&sm=
2023-03-15,"토니모리, 오늘부터 '비건 위크' 프로모션…세부퍼시픽 항공권 응모도",https://finance.naver.com/item/news_read.naver?article_id=0006685189&office_id=421&code=214420&page=3&sm=
2023-03-07,[fn마켓워치]토니모리 '천안 물류센터' 매각 돌입,https://finance.naver.com/item/news_read.naver?article_id=0004978125&office_id=014&code=214420&page=3&sm=
